id,name,genre,type,episodes,avg_rating,members
36,Mahou Shoujo MadokaMagica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974
37,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946
38,Guilty Crown,"Action, Drama, Sci-Fi, Super Power",TV,22,7.81,460959
39,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749
40,FateZero,"Action, Fantasy, Supernatural",TV,13,8.51,453630
41,Deadman Wonderland,"Action, Horror, Sci-Fi",TV,12,7.48,453454
42,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334
43,Suzumiya Haruhi no Yuuutsu,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,8.06,428569
44,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855
45,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457
46,Kuroshitsuji,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,24,8.06,424919
47,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271
48,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397
49,Hataraku Maou-sama!,"Comedy, Demons, Fantasy, Romance, Shounen",TV,13,8.03,409037
50,Tokyo Ghoul A,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,7.52,408357
51,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381
52,High School DxD,"Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,7.7,398660
53,Chuunibyou demo Koi ga Shitai!,"Comedy, Drama, Romance, School, Slice of Life",TV,12,7.95,394399
54,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,26,8.26,391628
55,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076
56,Log Horizon,"Action, Adventure, Fantasy, Game, Magic, Shounen",TV,25,8.14,387100
57,K-On!,"Comedy, Music, School, Slice of Life",TV,13,7.87,386048
58,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914
59,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375
60,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662
61,Fatestay night,"Action, Fantasy, Magic, Romance, Supernatural",TV,24,7.58,374880
62,Hyouka,"Mystery, School, Slice of Life",TV,22,8.17,372246
63,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215
64,Higurashi no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural, Thriller",TV,26,8.17,359494
65,Kyoukai no Kanata,"Fantasy, Slice of Life, Supernatural",TV,12,7.88,359011
66,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839
67,Yahari Ore no Seishun Love Comedy wa Machigatteiru,"Comedy, Drama, Romance, School",TV,13,8.12,353876
68,Tonari no Kaibutsu-kun,"Comedy, Romance, School, Shoujo, Slice of Life",TV,13,7.77,349836
69,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951
70,Nisekoi,"Comedy, Harem, Romance, School, Shounen",TV,20,7.91,347599
71,Zero no Tsukaima,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,13,7.62,346828
72,Zankyou no Terror,"Psychological, Thriller",TV,11,8.26,342893
73,FateZero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973
74,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556
75,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315
76,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376
77,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Action, Adventure, Comedy, Fantasy, Romance",TV,13,7.88,336349
78,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,334932
79,DGray-man,"Action, Adventure, Comedy, Shounen",TV,103,8.2,334399
80,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186
81,Black Lagoon,"Action, Seinen",TV,12,8.17,332562
82,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627
83,Btooom!,"Action, Psychological, Sci-Fi, Seinen",TV,12,7.68,329561
84,Boku wa Tomodachi ga Sukunai,"Comedy, Ecchi, Harem, Romance, School, Seinen, Slice of Life",TV,12,7.57,325664
85,Accel World,"Action, Game, Romance, School, Sci-Fi",TV,24,7.62,324284
86,Byousoku 5 Centimeter,"Drama, Romance, Slice of Life",Movie,3,8.1,324035
87,Ore no Imouto ga Konnani Kawaii Wake ga Nai,"Comedy, Seinen, Slice of Life",TV,12,7.49,321477
88,Black Bullet,"Action, Mystery, Sci-Fi, Seinen",TV,13,7.44,320267
89,Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.24,317513
90,Claymore,"Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural",TV,26,7.92,316853
91,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,153,8.16,316102
92,Owari no Seraph,"Action, Drama, Shounen, Supernatural, Vampire",TV,12,7.65,315630
93,Toaru Majutsu no Index,"Action, Magic, Sci-Fi, Super Power",TV,24,7.69,313114
94,Ansatsu Kyoushitsu (TV),"Action, Comedy, School, Shounen",TV,22,8.2,312654
95,Charlotte,"Drama, School, Super Power",TV,13,7.91,310137
96,Kimi ni Todoke,"Romance, School, Shoujo, Slice of Life",TV,25,8.19,309339
97,Hellsing,"Action, Horror, Seinen, Supernatural, Vampire",TV,13,7.64,308995
98,LuckyStar,"Comedy, Parody, School, Slice of Life",TV,24,7.87,305837
99,FLCL,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",OVA,6,8.06,305165
100,Date A Live,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",TV,12,7.54,301358
101,Baka to Test to Shoukanjuu,"Comedy, Romance, School, Super Power",TV,13,7.83,301282
102,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030
103,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434
104,Rosario to Vampire,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Shounen, Vampire",TV,13,7.14,299278
105,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,"Action, Horror, Mystery, Psychological",TV,13,7.49,298550
106,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454
107,Shakugan no Shana,"Action, Drama, Fantasy, Romance, School, Supernatural",TV,24,7.74,297058
108,K,"Action, Super Power, Supernatural",TV,13,7.73,297051
109,Kore wa Zombie Desu ka,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",TV,12,7.67,295782
110,Gekkan Shoujo Nozaki-kun,"Comedy, Romance, School",TV,12,8.24,292622
111,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228
112,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206
113,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376
114,Vampire Knight,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",TV,13,7.4,286826
115,Mahouka Koukou no Rettousei,"Magic, Romance, School, Sci-Fi, Supernatural",TV,26,7.76,285317
116,Kami nomi zo Shiru Sekai,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,7.95,284846
117,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498
118,Kokoro Connect,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.01,283847
119,Trigun,"Action, Comedy, Sci-Fi",TV,26,8.32,283069
120,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,282002
121,InuYasha,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,167,7.89,281632
122,School Days,"Drama, Harem, Romance, School",TV,12,6.17,279183
123,Higashi no Eden,"Action, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",TV,11,8.03,276593
124,Golden Time,"Comedy, Romance, Seinen",TV,24,7.92,273191
125,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484
126,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487
127,Fatestay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484
128,Chobits,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",TV,26,7.57,266846
129,High School DxD New,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,7.87,266657
130,Free!,"Comedy, School, Slice of Life, Sports",TV,12,7.67,265791
131,Ergo Proxy,"Mystery, Psychological, Sci-Fi",TV,23,8.03,265005
132,Nisemonogatari,"Comedy, Mystery, Supernatural",TV,11,8.21,260062
133,Zetsuen no Tempest,"Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",TV,24,8.17,259900
134,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,8.35,258914
135,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,203,8.37,258103
136,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,"Comedy, School, Shounen, Slice of Life",TV,12,7.29,257925
137,Full Metal Panic!,"Action, Comedy, Mecha, Military, Sci-Fi",TV,24,7.81,256325
138,Fairy Tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,8.25,255076
139,IS: Infinite Stratos,"Action, Comedy, Harem, Mecha, Sci-Fi",TV,12,7.12,254543
140,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436
141,Koutetsujou no Kabaneri,"Action, Drama, Fantasy, Horror",TV,12,7.39,253027
142,Shiki,"Mystery, Supernatural, Thriller, Vampire",TV,22,7.99,251093
143,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562
144,Bakuman,"Comedy, Romance, Shounen",TV,25,8.35,246899
145,K-On!!,"Comedy, Music, School, Slice of Life",TV,26,8.14,246276
146,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026
147,Kono Subarashii Sekai ni Shukufuku wo!,"Adventure, Comedy, Fantasy, Supernatural",TV,10,8.03,244877
148,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","Action, Adventure, Fantasy, Military",TV,12,7.97,244314
149,Overlord,"Action, Adventure, Fantasy, Game, Magic, Supernatural",TV,13,8.04,244268
150,AldnoahZero,"Action, Mecha, Sci-Fi",TV,12,7.66,244193
151,Suzumiya Haruhi no Yuuutsu (2009),"Comedy, Mystery, Parody, Romance, School, Sci-Fi, Slice of Life",TV,14,7.28,243448
152,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325
153,Fruits Basket,"Comedy, Drama, Fantasy, Romance, Shoujo, Slice of Life",TV,26,7.8,242553
154,Blood Lad,"Action, Comedy, Demons, Seinen, Supernatural, Vampire",TV,10,7.55,241513
155,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297
156,Eureka Seven,"Adventure, Drama, Mecha, Romance, Sci-Fi",TV,50,8.19,239570
157,To LOVE-Ru,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi",TV,26,7.34,237563
158,Zero no Tsukaima: Futatsuki no Kishi,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,12,7.73,235684
159,LovelyComplex,"Comedy, Romance, Shoujo",TV,24,8.23,235003
160,Kuroshitsuji II,"Action, Comedy, Demons, Fantasy, Shounen, Supernatural",TV,12,7.55,234955
161,Sukitte Ii na yo,"Romance, School, Shoujo",TV,13,7.71,233410
162,Gosick,"Drama, Historical, Mystery, Romance",TV,24,8.23,232113
163,Strike the Blood,"Action, Ecchi, Fantasy, Harem, School, Shounen, Supernatural, Vampire",TV,24,7.44,231387
164,Toaru Kagaku no Railgun,"Action, Sci-Fi, Super Power",TV,24,7.87,231079
165,Pandora Hearts,"Adventure, Fantasy, Mystery, Shounen, Supernatural",TV,25,7.92,229567
166,Pokemon,"Action, Adventure, Comedy, Fantasy, Kids",TV,276,7.43,229157
167,Psycho-Pass 2,"Action, Police, Psychological, Sci-Fi",TV,11,7.6,228435
168,Prison School,"Comedy, Ecchi, Romance, School, Seinen",TV,12,8.03,227734
169,Sora no Otoshimono,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,13,7.68,227681
170,Ao Haru Ride,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,12,7.89,227417
171,Dragon Ball GT,"Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power",TV,64,6.72,226625
172,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430
173,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193
174,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927
175,Nagi no Asukara,"Drama, Fantasy, Romance",TV,26,8.32,224947
176,Summer Wars,"Comedy, Sci-Fi",Movie,1,8.3,223359
177,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036
178,Yahari Ore no Seishun Love Comedy wa Machigatteiru Zoku,"Comedy, Drama, Romance, School",TV,13,8.31,222994
179,Sankarea,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",TV,12,7.53,222657
180,Darker than Black: Ryuusei no Gemini,"Action, Mystery, Sci-Fi, Super Power",TV,12,7.62,222243
181,Kekkai Sensen,"Action, Fantasy, Shounen, Super Power, Supernatural, Vampire",TV,12,7.74,220573
182,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928
183,Rokka no Yuusha,"Action, Adventure, Fantasy, Magic, Mystery",TV,12,7.63,218747
184,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo,"Comedy, Fantasy, Supernatural",TV,10,7.85,218231
185,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101
186,Beelzebub,"Action, Comedy, Demons, School, Shounen, Supernatural",TV,60,8.04,217752
187,Seitokai Yakuindomo,"Comedy, School, Shounen, Slice of Life",TV,13,7.71,217617
188,Amagi Brilliant Park,"Comedy, Magic",TV,13,7.68,217003
189,Akatsuki no Yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,8.23,216674
190,Inu x Boku SS,"Comedy, Romance, Shounen, Supernatural",TV,12,7.69,216204
191,Akira,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural",Movie,1,8.15,215897
192,Serial Experiments Lain,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",TV,13,7.99,215829
193,Log Horizon 2nd Season,"Action, Adventure, Fantasy, Game, Magic, Shounen",TV,25,7.66,215817
194,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630
195,Kiss x Sis (TV),"Comedy, Ecchi, Harem, Romance, School, Seinen",TV,12,7.09,215361
196,Boku wa Tomodachi ga Sukunai Next,"Comedy, Harem, Romance, School, Seinen, Slice of Life",TV,12,7.7,214319
197,Plastic Memories,"Drama, Romance, Sci-Fi",TV,13,7.95,213493
198,Hai to Gensou no Grimgar,"Action, Adventure, Drama, Fantasy",TV,12,7.87,213342
199,Zero no Tsukaima: Princesses no Rondo,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,12,7.6,210891
200,Gangsta,"Action, Drama, Seinen",TV,12,7.5,210752
201,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736
202,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491
203,Chuunibyou demo Koi ga Shitai! Ren,"Comedy, Drama, Romance, School, Slice of Life",TV,12,7.6,208885
204,Trinity Seven,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Supernatural",TV,12,7.43,208796
205,Blood,"Action, Drama, Horror, Military, Mystery, Supernatural, Vampire",TV,50,7.8,208321
206,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241
207,Fatestay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987
208,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959
209,Kaze no Stigma,"Action, Fantasy, Magic, Romance, Shounen",TV,24,7.5,205338
210,Rosario to Vampire Capu2,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Vampire",TV,13,7.24,203958
211,Ichiban Ushiro no Daimaou,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, School, Shounen",TV,12,7.21,203618
212,Black Lagoon: The Second Barrage,"Action, Seinen",TV,12,8.3,203233
213,ReLIFE,"Romance, School, Slice of Life",TV,13,8.24,202249
214,Hentai Ouji to Warawanai Neko,"Comedy, Harem, Romance, School, Seinen, Supernatural",TV,12,7.46,201735
215,Ore Monogatari!!,"Comedy, Romance, Shoujo",TV,24,8.11,200833
216,Kimi no Na wa,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630
217,BlackRock Shooter (TV),"Action, Drama, School, Slice of Life",TV,8,7.07,198991
218,Mekakucity Actors,"Comedy, Romance, Sci-Fi, Super Power, Supernatural",TV,12,7.21,198876
219,Vampire Knight Guilty,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",TV,13,7.53,198492
220,Kiznaiver,"Drama, Sci-Fi",TV,12,7.67,197912
221,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439
222,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256
223,YuuYuuHakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017
224,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855
225,Ore no Imouto ga Konnani Kawaii Wake ga Nai,"Comedy, Seinen, Slice of Life",TV,13,7.43,194791
226,Air Gear,"Action, Comedy, Ecchi, Shounen, Sports",TV,25,7.69,194611
227,Evangelion: 10 You Are (Not) Alone,"Action, Mecha, Sci-Fi",Movie,1,8.21,194561
228,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491
229,Kami nomi zo Shiru Sekai II,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.12,194300
230,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"Comedy, Ecchi, School",TV,12,7.53,193822
231,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716
232,Yamada-kun to 7-nin no Majo (TV),"Comedy, Harem, Mystery, Romance, School, Shounen, Supernatural",TV,12,7.91,193566
233,B Gata H Kei,"Comedy, Ecchi, Romance, School, Seinen",TV,12,7.18,192719
234,God Eater,"Action, Fantasy, Military, Sci-Fi",TV,13,7.55,192433
235,SteinsGate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424
236,Mayo Chiki!,"Comedy, Ecchi, Harem, Romance, School",TV,13,7.53,192219
237,High School DxD BorN,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,7.71,192171
238,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197
239,Owari no Seraph: Nagoya Kessen-hen,"Action, Drama, Shounen, Supernatural, Vampire",TV,12,7.84,190058
240,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741
241,Kamisama Hajimemashita,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,13,8.13,189641
242,Durarara!!x2 Shou,"Action, Mystery, Supernatural",TV,12,8.15,189407
243,Working!!,"Comedy, Slice of Life",TV,13,7.82,189367
244,Air,"Drama, Romance, Slice of Life, Supernatural",TV,13,7.48,188861
245,Rakudai Kishi no Cavalry,"Action, Ecchi, Fantasy, Romance, School",TV,12,7.78,188685
246,Bungou Stray Dogs,"Action, Comedy, Mystery, Seinen, Supernatural",TV,12,7.76,187805
247,Fullmetal Alchemist: The Conqueror of Shamballa,"Comedy, Drama, Fantasy, Historical, Military, Shounen",Movie,1,7.74,186465
248,Date A Live II,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",TV,10,7.5,186187
249,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,185015
250,Shakugan no Shana II (Second),"Action, Drama, Fantasy, Romance, School, Supernatural",TV,24,7.79,184525
251,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525
252,Toaru Majutsu no Index II,"Action, Magic, Sci-Fi, Super Power",TV,24,7.84,184520
253,Baka to Test to Shoukanjuu Ni!,"Comedy, Romance, School, Super Power",TV,13,7.98,183722
254,Sekirei,"Action, Comedy, Ecchi, Harem, Super Power",TV,12,7.4,182713
255,Evangelion: 20 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224
256,Digimon Adventure,"Action, Adventure, Comedy, Fantasy, Kids",TV,54,7.89,182208
257,Monster Musume no Iru Nichijou,"Comedy, Ecchi, Fantasy, Harem, Romance, Seinen",TV,12,7.39,181845
258,Cardcaptor Sakura,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",TV,70,8.18,181249
259,Nisekoi:,"Comedy, Harem, Romance, School, Shounen",TV,12,7.5,180686
260,Kore wa Zombie Desu ka of the Dead,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",TV,10,7.78,180032
261,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru","Comedy, Romance, School",TV,10,7.55,179569
262,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342
263,Kara no Kyoukai 1: Fukan Fuukei,"Action, Mystery, Supernatural, Thriller",Movie,1,7.81,178880
264,School Rumble,"Comedy, Romance, School, Shounen",TV,26,8.06,178553
265,Grisaia no Kajitsu,"Drama, Harem, Psychological, Romance, School",TV,13,7.67,178166
266,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475
267,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878
268,Sayonara Zetsubou Sensei,"Comedy, Parody, School",TV,12,8.03,174531
269,ChäoSHEAd,"Harem, Mystery, Psychological, Sci-Fi, Supernatural",TV,12,6.62,174337
270,Zero no Tsukaima F,"Adventure, Ecchi, Fantasy, Magic, Romance",TV,12,7.77,174026
271,Special A,"Comedy, Romance, School, Shoujo",TV,24,7.78,173603
272,Nekomonogatari: Kuro,"Comedy, Romance, Supernatural",TV,4,8.06,173264
273,"Yosuga no Sora: In Solitude, Where We Are Least Alone","Drama, Ecchi, Harem, Romance",TV,12,6.72,173216
274,Jigoku Shoujo,"Horror, Mystery, Psychological, Supernatural",TV,26,7.79,172415
275,Tasogare Otome x Amnesia,"Horror, Mystery, Romance, School, Shounen, Supernatural",TV,12,7.95,172367
276,Shinmai Maou no Testament,"Action, Demons, Ecchi, Fantasy, Harem, Romance",TV,12,7.11,172321
277,Hidan no Aria,"Action, Comedy, Romance, School",TV,12,7.13,171888
